paragraph,Index
"However, the meaning of a word and, consequently, how it contributes for the meaning of a segment, is highly influenced by both its sense and context <REF>.",88
"However, the meaning of a word and, consequently, how it contributes for the meaning of a segment, is highly influenced by both its sense and context <REF>.",89
"The use of contextualized embeddings has led to state-of-the-art results on multiple NLP tasks, such as Named Entity Recognition (NER), Question Answering (QA), and textual entailment <REF>.",90
"those learned by the Transformer <REF> via language modeling , have been shown to implicitly capture useful semantic and syntactic properties of text solely by unsupervised pre-training , as demonstrated by state-of-the-art performance on a wide range of natural language processing tasks , including supervised relation extraction .",91
LSTMbased language models <REF> or BERT .,92
"<REF> introduced embeddings from language models (ELMo), an approach to learn contextualized word representations by training a bidirectional LSTM to optimize a disjoint bidirectional language model objective.",93
"The models on each classification task are trained and examined using the open-source dataset provided by <REF>, where each task is assigned 100k sentences for training and 10k sentences for validating and testing.",94
"A comprehensive source for articles on this topic is the PubMed <REF> platform, combining over 29 million citations while providing access to their metadata.",95
"These word vectors models use multiple different pre-training sources, for instance, Word2Vec <REF> uses English Wikipedia, and BERT  uses both English Wikipedia and BooksCorpus.",96
"Regarding biomedical RE, LSTMs were successful in identifying drug-drug interactions <REF>, gene-mutation relations , drug-mutation relations , among others.",97
"Recent work on language understanding has demonstrated the effectiveness of pretraining neural networks on large corpora using unsupervised objectives such as language modelling, and then fine-tuning the resulting models on downstream target tasks <REF>.",98
"We use the pretrained BERT BASE model, and follow a similar procedure to fine-tune on GLUE to the one described by the BERT authors in <REF>.",99
"We use the pretrained BERT BASE model, and follow a similar procedure to fine-tune on GLUE to the one described by the BERT authors in <REF>.",100
"We see large performance gains for MTL on the RTE task in particular as reported in previous work <REF>, however the introduction of our task selection policy is not sufficient to prevent some reduction in performance on CoLA, MNLI matched and STS-B.",101
"On the other side, deep neural networks have achieved impressive performance on a lot of tasks such as image classification <REF> and machine translation .",102
"For example, at the time of finalizing the camera ready version of this paper, <REF> showed that a BERT contextualized representation model  trained on scientific text can achieve promising results on the SciCite dataset.",103
"Recently, pre-trained language models (e.g., * corresponding author ELMo <REF>, BERT ) are considered to be important on a wide range of NLP tasks, such as Natural Language Inference (NLI) and Question Answering (QA).",104
"Besides those mentioned above, other interesting attention mechanisms include performing multi-round alignment to avoid the problems of attention redundancy and attention deficiency , and using mutual attention as a skip-connector to densely connect pairwise layers <REF>  , which are based on certain word-level or sentence-level models pretrained on large external corpora in certain supervised or unsupervised manners.",105
"(MRPC) <REF>, where the task is to identify whether or not a pair of sentences have the same meaning ( ).",106
"For example, the BERT model is typically fine-tuned for 3 or 4 epochs <REF>, however it took over 100 epochs for the test classification ratios of models with more extreme importance weights to stabilise ( ).",107
SAN has also been shown a useful method for training contextualized word representations <REF>.,108
BERT <REF> is trained from a large scale corpora by a deep bidirectional Transformer using masked LM tasks.,109
Similar strategies have also achieved good performance in other medical problems with different types of medical images <REF>.,110
"Transformers <REF> have shown state of the art performance across a variety of NLP tasks, including, but not limited to, machine translation , question answering , text classification , and semantic role labeling .",111
"Transformers <REF> have shown state of the art performance across a variety of NLP tasks, including, but not limited to, machine translation , question answering , text classification , and semantic role labeling .",112
"BERT BERT <REF>) is a single transformer pre-trained on an unsupervised clozestyle ""masked language modeling task"" and then fine-tuned on specific tasks.",113
"BERT BERT <REF>) is a single transformer pre-trained on an unsupervised clozestyle ""masked language modeling task"" and then fine-tuned on specific tasks.",114
"The use of an attention mechanism in NLP and in particular neural machine translation (NMT) can be traced back to <REF> and , and most contemporaneous implementations are based on the formulation from .",115
This limitation is reinforced by context-free word representations 1 (Turney and Pantel 2010; <REF>: methods that encode each word as one point in a vector space of meaning and are thereby unable to account for multiple senses of a word.,116
"ELMo <REF>) trains representations with stacked bidirectional LSTMs, but still employs task-specific architectures on top of them.",117
"We incorporate BERT <REF>, a large pre-trained contextualized language model, in our system, as a source of common sense.",118
"In recent years, deep learning techniques <REF> is applied to semantic parsing  [8] .",119
"Recently, much progress has been made in generalpurpose language modeling that can be used across a wide range of tasks <REF>.",120
"Nearly all of the current attentive methods and language models, e.g., BERT <REF>, regard the input sequence as a whole, e.g., a passage, with no consideration of the inner linguistic structure inside each sentence.",121
"Some prominent examples are Embedding from Language models (ELMo) <REF>, Generative Pre-trained Transformer (OpenAI GPT)  and Bidirectional Encoder Representations from Transformers (BERT)  among which BERT uses a different pre-training objective, masked language model, which allows capturing both sides of context, left and right.",122
<REF> depicts the whole architecture of our model.,123
"Following the implementation of BERT <REF>, the first token of every sequence is the special token [CLS] and the sequences are separated by the  token.",124
"While such embeddings can be directly learned using the GIT model, it has been shown in the field of NLP that the pre-trained word embeddings can significantly improve the performance in other related NLP tasks <REF> .. .",125
"We propose an ensemble approach composed of two deep learning models, the Hierarchical LSTMs for Contextual Emotion Detection (HRLCE) model and the BERT model <REF>.",126
"BERT, the Bidirectional Encoder Representations for Transformers, <REF>) is a pretrained model producing context representations that can be very convenient and effective.",127
This technical note describes a new baseline for the Natural Questions <REF>.,128
"The release of BERT <REF> has substantially advanced the state-of-the-art in a number of NLP tasks, in question answering in particular.",129
"Following <REF> we tokenize every example in NQ using a 30,522 wordpiece vocabulary, then generate multiple instances per example by concatenating a ""[CLS]"" token, the tokenized question, a ""[SEP]"" token, tokens from the content of the document, and a final ""[SEP]"" token, limiting the total size of each instance to 512 tokens.",130
We presented a BERT-based model <REF> as a new baseline for the newly released Natural Questions .,131
"We finetune BERT <REF>, 3 a recently proposed pre-trained deep bidirectional Transformer , to predict entailment given two sentences as input.",132
We first calculate the pooled BERT representation <REF> of each of the utterances.,133
"In recent years many methods have been proposed for vision-language tasks such as image and video captioning <REF>, multimodal retrieval , phrase grounding , and visual question answering .",134
"<REF>), to our knowledge there exists no comprehensive comparison.",135
Visual information has been used in limited ways to improve word embeddings such as simply concatenating visual features <REF> or focusing on abstract scenes .,136
"It is evaluated using Recall@K where K = <REF>, resulting in six numbers which measure the performance of the model (three for image-to-sentence and three for sentence-to-image).",137
BERT <REF> is currently the state-of-the-art word embedding model.,138
"Largescale, pre-trained transformer-based language models, such as GPT-2 <REF> and BERT , might be an interesting addition to the baselines, by framing the task as filling in the blanks for post-modifiers.",139
There has recently been rapid progress in developing contextual word representations that improve accuracy across a range of natural language tasks <REF>.,140
"Here, we see that pre-training provides benefits for all languages evaluated, and that BERT <REF> outperforms ELMo, which in turn outperforms fastText , which performs slightly better than the non pre-trained baselines.",141
"to parsing, requires task-specific adaptation via fine-tuning <REF>.",142
All other hyperparameters are unchanged from Kitaev and Klein (2018) and <REF>.,143
"As the use of Transformers <REF> has become ubiquitous in recent NLP researches  , we have incorporated this model to our action generation task using our modified network structure.",144
We employ the pretrained embedding matrix GloVe <REF> and pretrained model BERT  to obtain the fixed word embedding of each word.,145
"To demonstrate the effectiveness of our proposed method, as most previous works <REF>, we conduct experiments on two datasets from SemEval 2014 Task4 2 , which contains the reviews in laptop and restaurant.",146
Main-stream MRC models <REF>) extract text spans in passages given queries.,147
"Various MRC models have been proposed, such as BiDAF <REF> and QANet .",148
"Over the past year, models based on the Transformer architecture <REF> have become the de-facto standard for state-of-the-art performance on many natural language processing (NLP) tasks .",149
"One of the most popular Transformer-based models is BERT, which learns text representations using a bi-directional Transformer encoder pre-trained on the language modeling task <REF>.",150
•  <REF>.,151
"Advances in techniques and hardware for training deep neural networks have recently enabled impressive accuracy improvements across many fundamental NLP tasks <REF>, with the most computationally-hungry models obtaining the highest scores .",152
"The BERT model <REF> provides a Transformer-based architecture for building contextual representations similar to ELMo, but trained with a different language modeling objective.",153
"The BERT model <REF> provides a Transformer-based architecture for building contextual representations similar to ELMo, but trained with a different language modeling objective.",154
"KERMIT is a simple architecture that directly models the joint distribution p(x, y) and its decompositions (such as the marginals p(x) and p(y) courses proved popular <REF> Die sehr beliebt  The quite {Kurse, waren} : An example of the KERMIT insertion objective for the English ↔ German translation pair ""The courses proved quite popular"" ↔ ""Die Kurse waren sehr beliebt"".",155
"Then, like its friends ELMo <REF>, BERT , and ERNIE , we can also use KERMIT for self-supervised representation learning for use in downstream NLP tasks.",156
"In this section, we define some notation and give a brief review of existing sequence models, including autoregressive left-to-right models <REF> and masked language models .",157
Masked Language Models (MLMs) <REF> comprise another class of models targeting the unconditional setting.,158
"MLMs have been successfully applied in self-supervised representation learning settings, leading to strong results on downstream language tasks <REF>.",159
"Since comparing two texts-a mention in context and a candidate entity description-is a task similar to reading comprehension and natural language inference tasks, we use an architecture based on a deep Transformer <REF> which has achieved state-of-the-art performance on such tasks .",160
"As in BERT <REF>, the mention in context m and candidate entity description e, each represented by 128 word-piece tokens, are concatenated and input to the model as a sequence pair together with special start and separator tokens:",161
"Examples of this approach include ELMo <REF>, OpenAI GPT , and BERT .",162
The Masked LM objective <REF> is used for unsupervised pre-training.,163
"Resources  fine-tuning on the Entity-Linking task, we use a small learning rate of 2e-5, following the recommendations from <REF>.",164
HPC applications like weather prediction and the modeling of fluid and molecular dynamics have grown to require very large models <REF>.,165
"Thus far, we have compared the performance of Buddy Compression to an uncompressed, large-memory baseline ( <REF>).",166
"Recent object detection networks like MegDet <REF> and natural language processing networks like BERT  are unable to fit more than 2-4 input samples per GPU during training, due to memory capacity limits.",167
"Recent work has shown mounting evidence that pretraining sentence encoder neural networks on unsupervised tasks like language modeling, and then fine-tuning them on individual target tasks, can yield significantly better target task performance than could be achieved using target task training data alone <REF>.",168
"We apply STILTs to three separate pretrained arXiv:1811.01088v2 [cs.CL] 27 Feb 2019 sentence encoders: BERT <REF>, GPT , and a variant of ELMo .",169
"In the area of pretraining for sentence encoders, <REF> compare several pretraining tasks for syntactic target tasks, and find that language model pretraining reliably performs well.",170
A more recent trend of fine-tuning the whole model for the target task from a pretrained state <REF> has led to state-of-the-art results on several benchmarks.,171
"Pretrained Sentence Encoders We primarily study the impact of STILTs on three sentence encoders: BERT <REF>, GPT  and ELMo .",172
"We experiment with DOCQA , a standard and popular RC model, as well as a model based on BERT <REF>, which provides powerful contextual representations.",173
"The first is DOCQA , and the second is based on BERT <REF>, which we term BERTQA.",174
"BERTQA <REF>: For each chunk, we apply the standard implementation, where the input is a sequence of L = 512 wordpiece tokens composed of the question and chunk separated by special tokens [CLS] <question> [SEP] <chunk> .",175
"More specifically, these techniques enhanced NLP algorithms through the use of contextualized text embeddings at word, sentence, and paragraph levels <REF>.",176
"In the present paper, we build a dataset of PIO elements by improving the methodology found in <REF>.",177
The idea behind this model is to pre-train a bidirectional representation by jointly conditioning on both left and right contexts in all layers using a transformer <REF>.,178
The first version is based on the original BERT release <REF>.,179
The model has 12 attention layers and all texts are converted to lowercase by the tokenizer <REF>.,180
Recent advances in language representation modeling <REF> demonstrate the value of transfer learning from large external data source.,181
"For subtask A, we use pre-trained word embeddings by fine-tuning the BERT model <REF> for detecting offensive tweets.",182
Recent models like ELMo <REF> and BERT  significantly advanced the state-of-the-art in language modeling by learning context-sensitive representations of words.,183
Recent models like ELMo <REF> and BERT  significantly advanced the state-of-the-art in language modeling by learning context-sensitive representations of words.,184
Recent models like ELMo <REF> and BERT  significantly advanced the state-of-the-art in language modeling by learning context-sensitive representations of words.,185
"For subtask A, we trained a classifier by finetuning a pre-trained BERT Transformer <REF> with a linear layer for text sequence classification on top.",186
Punctuations are ignored as in previous work <REF>.,187
"SQuAD <REF>), the wide adoption and intense experimentation of neural modeling , and the advancements in vector representations of word embeddings  all contribute significantly to the achievements obtained so far.",188
"Large-scale reading comprehension tasks like SQuAD <REF> and MARCO  provide question-answer pairs from a vast range of written passages, covering different kinds of factual answers involving entities such as location and numerical values.",189
"We implemented an established model in reading comprehension, a bi-directional attention pointer network <REF>, and equipped it with an answerable classifier, as depicted in .",190
"In the Gendered Pronoun Resolution challenge which is based on GAP dataset, we designed a unique augmentation strategy for token-level contextual embedding models and applied it to feature based BERT <REF> approach for a 7th place finish.",191
This is an extension of the reading comprehension task <REF> of selecting an answer phrase to a question given an evidence document.,192
"Dense vectors are effective for encoding local syntactic and semantic cues leveraging recent advances in contextualized text encoding <REF>, while sparse vectors are superior at encoding precise lexical information.",193
"To obtain these components of the dense vector, we leverage available contextualized word representations, in particular BERT-large <REF>, which is pretrained on a large corpus (Wikipedia and BookCorpus) and has proved to be very powerful in numerous natural language tasks.",194
We refer readers to the original paper by <REF> for details; we mostly use the default settings described there.,195
"The first group are among the models that are submitted to SQuAD v1.1 Leaderboard, specifically DrQA  and BERT <REF> (current state of the art).",196
"In one of the two classes of models of this type, an encoder-decoder model is learnt using a corpus of contiguous sentences <REF> to make predictions of the words in the next sentence given the words in the current one.",197
"Speech recognition algorithms <REF>,  convert utterance to text, which can be encoded to a vector sequence using word embedding algorithms , , , , .",198
"Landmark models include Word2Vec <REF>, , GloVe , ELMo  and BERT .",199
"Recently, models such as the Convolutional Neural Network (CNN) <REF>, the Recurrent Neural Network (RNN) , memory network  have been introduced for sentiment classification tasks.",200
"Besides investigating how well our approach translates to other languages, we are interested in studying the results for other pretrained word representation approaches, e.g., BERT <REF>.",201
Many linguistic theories try to tie these phenomena but they struggle to explain some edge cases and are mutually inconsistent <REF> .,202
Current state-of-the-art neural networks need extensive computational resources to be trained and can have capacities of close to one billion connections between neurons <REF>.,203
"However, its indisputable empirical success in a huge variety of tasks, ranging from image classification <REF> and image generation  over natural language processing  to playing complex games , is confronted with lack of explainability .",204
"In the particular case of natural language processing (NLP), the state-of-the-art models proposed in the last year are based on a deep architecture, the Transformer <REF>, which heavily relies on an operation called self-attention.",205
"• Visualizations/Interpretations that link the attention weights to attention between words, when in fact the attention is between embeddings, i.e., mixtures of multiple words <REF> • Attention accumulation methods that sum the attention to a specific sequence position over layers and/or attention heads, when the given position might encode a different mixture of inputs in each layer  • Using classifiers to probe embeddings for word specific aspects without investigating to which extent the word is still represented in the hidden embedding  As the amount of research in this area is quite substantial, we aim to provide a quantitative analysis of the degree to which hidden embeddings correspond to given input tokens.",206
"We contribute in this paper with a new attribution method to quantify the mix of hidden embeddings with respect to the input tokens as well as an analysis of BERT <REF>, measuring the influence of input tokens to the contextual embeddings at the same sentence position.",207
"The original Transformer model was introduced by <REF> and consists of an encoder and a decoder, both in turn consisting of a series of multi-head self-attention layers.",208
"Recent work on transformer networks <REF> trained on massive written text corpora have repeatedly demonstrated step changes in performance on several tasks including text summarization, question answering (Q&A), intent classification, natural language inference (NLI), as well as in zero-shot settings, in which they generalize to new tasks and new data without being pre trained on that data or those tasks.",209
"Recent work on transformer networks <REF> trained on massive written text corpora have repeatedly demonstrated step changes in performance on several tasks including text summarization, question answering (Q&A), intent classification, natural language inference (NLI), as well as in zero-shot settings, in which they generalize to new tasks and new data without being pre trained on that data or those tasks.",210
The Language Model (LM) discussed in this paper builds upon the Char-CNN-LSTM architecture proposed in <REF>.,211
the word-piece tokens in <REF> due to the resilience character level models have to spelling errors in the input text.,212
"To generate semantically altered text samples, we leverage the BERT language model <REF>, which was trained on the BookCorpus and English Wikipedia corpora, totalling 3.3B words.",213
Generative pretraining of sentence encoders <REF> has led to strong improvements on numerous natural language understanding benchmarks .,214
Our work builds on top of <REF>; ;  who investigate language modeling for pretraining Transformer encoders.,215
"We also consider the masked language modeling (MLM) objective of <REF>, also known as the Cloze task .",216
"We also consider the masked language modeling (MLM) objective of <REF>, also known as the Cloze task .",217
"We also consider the masked language modeling (MLM) objective of <REF>, also known as the Cloze task .",218
"To this end, we compare two state-of-the-art pretrained models, ELMo <REF> and BERT  using both and across seven diverse tasks including named entity recognition, natural language inference (NLI), and paraphrase detection.",219
Masked LM and next-sentence prediction BERT <REF> combines both word and sentence representations (via masked LM and next sentence prediction objectives) in a single very large pretrained transformer .,220
"For the sentence pair tasks, we compute cross-sentence bi-attention between the LM states <REF>, apply a pooling operation, then add a softmax layer.",221
Fine-tuning ( ): BERT We feed the sentence representation into a softmax layer for text classification and sentence pair tasks following <REF>.,222
"In the case of BERT, the output layer is a softmax to be consistent with the fine-tuned experiments presented in <REF>.",223
Pre-trained word embeddings have been shown to be of great use for downstream NLP tasks <REF>.,224
We also consider the masked language modeling (MLM) objective of <REF>.,225
We experimentally found that using the last four layers as proposed in <REF> for the feature-based approach does not work well.,226
"Recent work shows that DNNs are fragile, where a small perturbation could dramatically change their prediction results <REF>.",227
"To this end, <REF> organized a shared task specifically on suggestion mining called SemEval 2019 Task 9: Suggestion Mining from Online Reviews and Forums.",228
"Language Model Pretraining Inspired from the computer vision field, where ImageNet <REF>) is used to pretrain models for other tasks , many recent attempts in the NLP community are successful on using language modeling as a pretraining step to extract  feature representations , and to fine-tune NLP models .",229
"Language Model Pretraining Inspired from the computer vision field, where ImageNet <REF>) is used to pretrain models for other tasks , many recent attempts in the NLP community are successful on using language modeling as a pretraining step to extract  feature representations , and to fine-tune NLP models .",230
"Language Model Pretraining Inspired from the computer vision field, where ImageNet <REF>) is used to pretrain models for other tasks , many recent attempts in the NLP community are successful on using language modeling as a pretraining step to extract  feature representations , and to fine-tune NLP models .",231
BERT-based Encoder Fine-tuning a pretrained BERT <REF> classifier then using the separately produced classification encoding [CLS] has shown to produce significant improvements.,232
"Second, we show that transfer learning techniques such as BERT <REF> and ULMFiT  can be used to train robust classifiers in low-resource settings, experiencing at most a 0.0782 increase in error when the number of training examples is reduced from 10K to  We open source all pretrained models and datasets in an open, public repository 1 .",233
"We use two transfer learning techniques, namely BERT <REF> and .",234
"BERT is a transformer-based <REF> language model that is designed to pretrain ""deep bidirectional representations"" that can be finetuned to different tasks, with state-of-the-art results achieved in multiple benchmarks .",235
"Adapted from <REF> modeling,"" which masks a number of words in the sentence with the model tasked to identify them .",236
"Adapted from <REF> modeling,"" which masks a number of words in the sentence with the model tasked to identify them .",237
This paper describes a language representation model which combines the Bidirectional Encoder Representations from Transformers (BERT) learning mechanism described in <REF> with a generalization of the Universal Transformer model described in .,238
Several state of the art results in multiple NLP tasks were obtained recently by relying on pretrained language models <REF>.,239
We then continue the loss calculation as described in <REF>.,240
